date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:26	25676/25676	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:16%20GMT	http://dyn.com/content-hub/	C:/My%20Web%20Sites/DynDns/dyn.com/content-hub/index.html	(from http://dyn.com/)
11:44:26	38421/38421	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:17%20GMT	http://dyn.com/blog/	C:/My%20Web%20Sites/DynDns/dyn.com/blog/index.html	(from http://dyn.com/)
11:44:26	30045/30045	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:17%20GMT	http://dyn.com/dynedu-videos-dns-email-delivery-explained/	C:/My%20Web%20Sites/DynDns/dyn.com/dynedu-videos-dns-email-delivery-explained/index.html	(from http://dyn.com/)
11:44:27	31484/31484	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:17%20GMT	http://dyn.com/dns/whitepapers-technical-documents/	C:/My%20Web%20Sites/DynDns/dyn.com/dns/whitepapers-technical-documents/index.html	(from http://dyn.com/)
11:44:27	28128/28128	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:18%20GMT	http://dyn.com/email/email-delivery-deliverability-whitepapers-technical-documents/	C:/My%20Web%20Sites/DynDns/dyn.com/email/email-delivery-deliverability-whitepapers-technical-documents/index.html	(from http://dyn.com/)
11:44:27	33307/33307	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:18%20GMT	http://dyn.com/dyn-webinar-series-dns-email-delivery-deliverability/	C:/My%20Web%20Sites/DynDns/dyn.com/dyn-webinar-series-dns-email-delivery-deliverability/index.html	(from http://dyn.com/)
11:44:27	39531/39531	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:18%20GMT	http://dyn.com/dns/case-studies/	C:/My%20Web%20Sites/DynDns/dyn.com/dns/case-studies/index.html	(from http://dyn.com/)
11:44:28	25698/25698	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:18%20GMT	http://dyn.com/email/delivery-deliverability-case-studies/	C:/My%20Web%20Sites/DynDns/dyn.com/email/delivery-deliverability-case-studies/index.html	(from http://dyn.com/)
11:44:28	28752/28752	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:18%20GMT	http://dyn.com/about/	C:/My%20Web%20Sites/DynDns/dyn.com/about/index.html	(from http://dyn.com/)
11:44:28	32419/32419	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:19%20GMT	http://dyn.com/about/events/	C:/My%20Web%20Sites/DynDns/dyn.com/about/events/index.html	(from http://dyn.com/)
11:44:28	34402/34402	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:19%20GMT	http://dyn.com/about/press/	C:/My%20Web%20Sites/DynDns/dyn.com/about/press/index.html	(from http://dyn.com/)
11:44:28	25606/25606	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:19%20GMT	http://dyn.com/support/	C:/My%20Web%20Sites/DynDns/dyn.com/support/index.html	(from http://dyn.com/)
11:44:29	26852/26852	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:20%20GMT	http://dyn.com/about/careers/	C:/My%20Web%20Sites/DynDns/dyn.com/about/careers/index.html	(from http://dyn.com/)
11:44:29	101363/101363	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:20%20GMT	http://dyn.com/support/wizard-js/	C:/My%20Web%20Sites/DynDns/dyn.com/support/wizard-js/index.html	(from http://dyn.com/)
11:44:30	29332/29332	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:21%20GMT	http://dyn.com/support/clients/	C:/My%20Web%20Sites/DynDns/dyn.com/support/clients/index.html	(from http://dyn.com/)
11:44:30	33941/33941	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:21%20GMT	http://dyn.com/support/customer-service-faqs/	C:/My%20Web%20Sites/DynDns/dyn.com/support/customer-service-faqs/index.html	(from http://dyn.com/)
11:44:30	27497/27497	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:21%20GMT	http://dyn.com/services/	C:/My%20Web%20Sites/DynDns/dyn.com/services/index.html	(from http://dyn.com/)
11:44:31	30122/30122	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:22%20GMT	http://dyn.com/about/partners/	C:/My%20Web%20Sites/DynDns/dyn.com/about/partners/index.html	(from http://dyn.com/)
11:44:31	23996/23996	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:22%20GMT	http://dyn.com/about/contact-us/	C:/My%20Web%20Sites/DynDns/dyn.com/about/contact-us/index.html	(from http://dyn.com/)
11:44:31	25676/25676	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:22%20GMT	http://dyn.com/developers/	C:/My%20Web%20Sites/DynDns/dyn.com/developers/index.html	(from http://dyn.com/)
11:44:31	23581/23581	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:22%20GMT	http://dyn.com/about/emea/	C:/My%20Web%20Sites/DynDns/dyn.com/about/emea/index.html	(from http://dyn.com/)
11:44:33	21455/21455	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jun%202014%2015:44:23%20GMT	http://dyn.com/Banner%202:%20http:/dyn.com/wp-content/uploads/2014/06/WB024_Homepage_PRE_A.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/Banner%202_%20http_/dyn.com/wp-content/uploads/2014/06/WB024_Homepage_PRE_A.html	(from http://dyn.com/)
11:44:34	21455/21455	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jun%202014%2015:44:22%20GMT	http://dyn.com/Banner%201:%20http:/dyn.com/wp-content/uploads/2014/06/express-1-month-en.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/Banner%201_%20http_/dyn.com/wp-content/uploads/2014/06/express-1-month-en.html	(from http://dyn.com/)
11:44:34	21455/21455	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jun%202014%2015:44:23%20GMT	http://dyn.com/Banner%203:%20http:/dyn.com/wp-content/uploads/2014/06/WP-Homepage-WP019-opt.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/Banner%203_%20http_/dyn.com/wp-content/uploads/2014/06/WP-Homepage-WP019-opt.html	(from http://dyn.com/)
11:44:34	36094/36094	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:24%20GMT	http://dyn.com/managed-dns-express/?via=home-banner	C:/My%20Web%20Sites/DynDns/dyn.com/managed-dns-express/index6045.html	(from http://dyn.com/)
11:44:34	25436/25436	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:25%20GMT	http://dyn.com/twitter-a-dyn-case-study/	C:/My%20Web%20Sites/DynDns/dyn.com/twitter-a-dyn-case-study/index.html	(from http://dyn.com/)
11:44:34	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:25%20GMT	http://dyn.com/why-dyn/where-well-be	C:/My%20Web%20Sites/DynDns/dyn.com/why-dyn/where-well-be.html	(from http://dyn.com/)
11:44:35	24289/24289	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:25%20GMT	http://dyn.com/spiceworks-case-study-email-delivery-dns-it-professionals/	C:/My%20Web%20Sites/DynDns/dyn.com/spiceworks-case-study-email-delivery-dns-it-professionals/index.html	(from http://dyn.com/)
11:44:35	36376/36376	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:26%20GMT	http://dyn.com/blog/how-the-world-cup-relies-on-dns/	C:/My%20Web%20Sites/DynDns/dyn.com/blog/how-the-world-cup-relies-on-dns/index.html	(from http://dyn.com/)
11:44:35	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:26%20GMT	http://dyn.com/clients/	C:/My%20Web%20Sites/DynDns/dyn.com/clients/index.html	(from http://dyn.com/)
11:44:35	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:26%20GMT	http://dyn.com/email-delivery-deliverability-whitepapers-technical-documents/	C:/My%20Web%20Sites/DynDns/dyn.com/email-delivery-deliverability-whitepapers-technical-documents/index.html	(from http://dyn.com/)
11:44:36	21988/21988	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:26%20GMT	http://dyn.com/newsletter-subscribe/	C:/My%20Web%20Sites/DynDns/dyn.com/newsletter-subscribe/index.html	(from http://dyn.com/)
11:44:36	239/239	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:27%20GMT	http://dyn.com/contact-us/	C:/My%20Web%20Sites/DynDns/dyn.com/contact-us/index.html	(from http://dyn.com/)
11:44:36	26876/26876	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:27%20GMT	http://dyn.com/legal/	C:/My%20Web%20Sites/DynDns/dyn.com/legal/index.html	(from http://dyn.com/)
11:44:36	38047/38047	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:27%20GMT	http://dyn.com/legal/dyn-privacy-policy/	C:/My%20Web%20Sites/DynDns/dyn.com/legal/dyn-privacy-policy/index.html	(from http://dyn.com/)
11:44:37	23187/23187	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:27%20GMT	http://dyn.com/reporting-abuse/	C:/My%20Web%20Sites/DynDns/dyn.com/reporting-abuse/index.html	(from http://dyn.com/)
11:44:41	701872/701872	---MC-	200	added ('OK')	image/jpeg	etag:%2241d81-ab5b0-4fc09b5551580%22	http://dyn.com/wp-content/uploads/2014/06/worldcupdns.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/uploads/2014/06/worldcupdns.jpg	(from http://dyn.com/)
